user_id,rolls_sink,avg_multiplier,about_to_churn
93394000,12050,50,FALSE
487942298,1688,20,FALSE
1058993123,12550,50,FALSE
1130290884,153,2,FALSE
5369996,5095,20,FALSE
3014265,4880,100,FALSE
932686813,8204,50,FALSE
54694937,74600,1,FALSE
978610576,2938,10,FALSE
342126304,6622,20,FALSE
1131126684,2553,2,FALSE
869029488,6080,20,FALSE
19187690,10584,20,FALSE
35740272,2429,20,FALSE
143729457,4018,20,FALSE
459889691,7375,5,FALSE
1066282926,2577,20,FALSE
1085407545,4056,20,FALSE
1123239961,265,5,FALSE
279633343,19703,50,FALSE
47504560,5260,20,FALSE
1075068458,3466,10,FALSE
29172749,3715,50,FALSE
1126283299,539,5,FALSE
979739071,6553,10,FALSE
868523508,13311,50,FALSE
1101415394,4977,20,FALSE
1074865425,5679,20,FALSE
1016081969,4570,10,FALSE
37549797,720,20,FALSE
192758789,22911,50,FALSE
492851481,7720,50,FALSE
14891054,9582,20,FALSE
131540349,7199,50,FALSE
1120714466,1702,10,FALSE
754872398,2270,20,FALSE
1121463492,305,10,FALSE
45833539,4210,20,FALSE
339280966,8310,20,FALSE
4132667,1910,10,FALSE
1066743183,2808,10,FALSE
52306032,3103,10,FALSE
1129893130,885,1,FALSE
83924108,12105,10,FALSE
24246925,3293,100,FALSE
1128304909,4214,20,FALSE
79794703,4880,20,FALSE
627268533,1773,20,FALSE
1026132822,3878,20,FALSE
1040911016,5836,20,FALSE
1096074171,3346,10,FALSE
126913603,3053,20,FALSE
916937091,3730,20,FALSE
978109524,3065,10,FALSE
3268389,6526,20,FALSE
1130357866,763,2,FALSE
1108742939,3667,10,FALSE
932057816,720,5,FALSE
939067532,1577,1,FALSE
759984357,2895,10,FALSE
797373330,4547,10,FALSE
446768579,14060,50,FALSE
594077316,4600,20,FALSE
1036940624,2720,5,FALSE
979927158,487,20,TRUE
1051845426,2260,20,FALSE
62870048,6900,100,FALSE
873558451,7296,20,FALSE
44871758,3150,20,FALSE
33151581,2274,5,FALSE
293502807,3454,20,FALSE
1063228490,3603,5,FALSE
849741160,3525,10,FALSE
30872263,1730,10,FALSE
869683275,12539,100,FALSE
1057724448,4160,20,FALSE
1061510930,8640,20,FALSE
313237007,2480,20,FALSE
919940145,2044,20,FALSE
500959052,2728,20,FALSE
1098025268,6890,20,FALSE
84046783,3366,20,FALSE
60469219,16226,20,FALSE
904452641,6778,50,FALSE
80597452,1988,50,FALSE
96390422,4208,20,FALSE
387767577,1300,10,FALSE
120926790,28800,100,FALSE
998571556,4506,10,FALSE
581461783,9965,50,FALSE
479586557,14840,50,FALSE
72452463,1520,20,FALSE
73901303,2361,10,FALSE
774033295,32509,50,FALSE
1099327638,1514,10,FALSE
637828916,8910,50,FALSE
1090982338,4149,10,FALSE
151904155,4241,20,FALSE
2708324,4000,50,FALSE
53911122,7930,10,FALSE
1079435331,3585,5,FALSE
1047007288,5179,20,FALSE
1131214020,1781,10,FALSE
1128111512,308,5,FALSE
161044779,1858,10,FALSE
23528567,2120,20,FALSE
298102473,4040,20,FALSE
163214338,2340,20,FALSE
12267969,2551,10,FALSE
58726962,2535,20,FALSE
1015133870,35480,100,FALSE
1104322507,20800,50,FALSE
1125074661,740,5,FALSE
971869947,499,2,TRUE
721013921,1057,10,FALSE
97750267,3505,20,FALSE
7866678,2224,20,FALSE
1011338737,2168,10,FALSE
513392187,3248,10,FALSE
323879311,3614,20,FALSE
309254843,3729,10,FALSE
352568272,264,3,TRUE
241330701,2883,20,FALSE
1117193858,2250,5,FALSE
240185921,2820,50,FALSE
268339150,2549,5,FALSE
1121520061,2262,2,FALSE
981455489,6280,10,FALSE
1057105480,1985,5,FALSE
392991600,6004,20,FALSE
16675687,2863,20,FALSE
274585721,10930,50,FALSE
1098773629,2528,3,FALSE
1123900066,5720,10,FALSE
888583335,4726,20,FALSE
967605181,2011,20,FALSE
51598216,1170,10,FALSE
515397542,1760,20,FALSE
34344405,1568,20,FALSE
689285726,2848,20,FALSE
418944002,2050,10,FALSE
670089943,2331,20,FALSE
969950112,1012,100,FALSE
1039695268,2113,10,FALSE
1014044005,7038,5,FALSE
800367033,5640,20,FALSE
473089612,3500,50,FALSE
1040766867,2697,10,FALSE
1128218169,1445,10,FALSE
3829697,270,5,TRUE
809337494,4250,50,FALSE
1097735759,4300,20,FALSE
265991324,19300,100,FALSE
1025940000,600,20,FALSE
212295705,5625,10,FALSE
969258910,5417,50,FALSE
110668283,2803,20,FALSE
1131703731,476,5,FALSE
65393690,9400,50,FALSE
455592801,8521,20,FALSE
930257479,17979,10,FALSE
1072142947,1060,20,FALSE
1047142575,5180,20,FALSE
924367236,6695,20,FALSE
204197986,1970,20,FALSE
1111657255,70590,1,FALSE
2768916,6160,20,FALSE
49541759,5274,20,FALSE
1021018878,1820,20,FALSE
1121076304,790,10,FALSE
56941353,10700,20,FALSE
438829192,3961,10,FALSE
670128710,4230,20,FALSE
815002289,3940,10,FALSE
1114487689,1055,10,FALSE
1066158982,8501,20,FALSE
1077925337,17760,20,FALSE
1005754629,2743,20,FALSE
386113984,10600,50,FALSE
361358978,4850,50,FALSE
1130095900,961,5,FALSE
15028180,350,10,TRUE
1012454844,18820,50,FALSE
940813883,2959,20,FALSE
894149090,5030,50,FALSE
62308638,5570,5,FALSE
1090175570,3769,10,FALSE
945426962,936,20,FALSE
1006901833,1630,10,FALSE
895893634,4980,20,FALSE
973743917,1656,2,FALSE
89833185,8390,10,FALSE
977826631,11413,20,FALSE
1066090145,3766,20,FALSE
1104559518,710,10,FALSE
948790295,2100,10,FALSE
453996134,4378,20,FALSE
509444916,1748,20,FALSE
1073556203,740,20,FALSE
106469304,3284,10,FALSE
694284469,405,1,TRUE
473705995,1000,10,FALSE
940043772,1371,20,FALSE
1070629522,5256,20,FALSE
791432025,1980,10,FALSE
1048497077,4827,10,FALSE
295872679,4560,20,FALSE
482706873,33618,100,FALSE
1022151883,18300,100,FALSE
1101724564,760,10,FALSE
1051728343,800,20,FALSE
27030814,3128,10,FALSE
1093964240,4625,20,FALSE
35256980,2615,5,FALSE
1101780482,3729,10,FALSE
1126451405,439,10,FALSE
1131140939,1392,3,FALSE
717259425,1669,5,FALSE
892226832,7829,20,FALSE
1092357756,5083,1,FALSE
929274949,727,20,FALSE
1102524256,7860,10,FALSE
682176237,3865,10,FALSE
832710930,720,10,FALSE
1131409404,5165,3,FALSE
6285848,3730,20,FALSE
1051364807,2798,5,FALSE
1117797616,7486,5,FALSE
566251096,990,50,FALSE
582064684,2007,20,FALSE
1050548208,1653,10,FALSE
732953096,770,5,FALSE
1127015114,1788,2,FALSE
982183780,5574,20,FALSE
1109420677,4314,1,FALSE
905506038,1740,10,FALSE
74802570,6086,20,FALSE
87359037,3500,50,FALSE
731327051,3311,10,FALSE
687952865,1380,10,FALSE
12409043,2382,20,FALSE
681565942,1100,20,FALSE
899745500,4869,20,FALSE
1081566318,16558,50,FALSE
586634817,25837,100,FALSE
1037996303,7430,20,FALSE
569565386,4947,20,FALSE
742629795,4507,20,FALSE
1005013335,7327,50,FALSE
27224427,1840,20,FALSE
854885248,3831,50,FALSE
21779818,2000,20,FALSE
40884084,1420,10,FALSE
1125674445,3747,10,FALSE
7745028,6930,50,FALSE
685472367,1250,20,FALSE
1027277208,1764,20,FALSE
1105954664,2297,10,FALSE
951905171,2391,50,FALSE
105131368,2950,50,FALSE
1062238626,3923,10,FALSE
665130443,3100,10,FALSE
1115074267,1900,20,FALSE
21840981,926,10,FALSE
56827273,9099,50,FALSE
364780528,930,10,FALSE
1078884170,12643,10,FALSE
1115943016,1351,10,FALSE
257393282,3451,20,FALSE
722992234,2330,20,FALSE
398899200,3486,10,FALSE
635920471,10000,20,FALSE
733522803,3560,10,FALSE
969818516,12316,20,FALSE
779775927,9115,20,FALSE
